fecha,year,month,day,day_of_year,precip,tmax,tmin,amp_termica,estacion,lat,lon,zona,departamento,prob_helada_predicha,prediccion_helada
2015-10-30,2015,10,30,303,1.2908045977011493,17.53333333333333,-2.9816091954022985,20.51494252873563,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.6956217625493694,1
2015-10-31,2015,10,31,304,1.2908045977011493,17.53333333333333,-2.9816091954022985,20.51494252873563,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.6956217625493694,1
2015-11-01,2015,11,1,305,1.6897293972939729,16.34040590405904,-2.719077490774908,19.059483394833947,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.5878228782287823,1
2015-11-02,2015,11,2,306,1.6897293972939729,16.34040590405904,-2.719077490774908,19.059483394833947,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.5878228782287823,1
2015-11-03,2015,11,3,307,1.6897293972939729,16.34040590405904,-2.719077490774908,19.059483394833947,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.5878228782287823,1
2015-11-04,2015,11,4,308,1.6897293972939729,16.34040590405904,-2.719077490774908,19.059483394833947,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.5878228782287823,1
2015-11-05,2015,11,5,309,1.6897293972939729,16.34040590405904,-2.719077490774908,19.059483394833947,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.5878228782287823,1
2015-11-06,2015,11,6,310,1.6897293972939729,16.34040590405904,-2.719077490774908,19.059483394833947,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.5878228782287823,1
2015-11-07,2015,11,7,311,1.6897293972939729,16.34040590405904,-2.719077490774908,19.059483394833947,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.5878228782287823,1
2015-11-08,2015,11,8,312,1.6897293972939729,16.34040590405904,-2.719077490774908,19.059483394833947,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.5878228782287823,1
2015-11-09,2015,11,9,313,1.6897293972939729,16.34040590405904,-2.719077490774908,19.059483394833947,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.5878228782287823,1
2015-11-10,2015,11,10,314,1.6897293972939729,16.34040590405904,-2.719077490774908,19.059483394833947,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.5878228782287823,1
2015-11-11,2015,11,11,315,1.6897293972939729,16.34040590405904,-2.719077490774908,19.059483394833947,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.5878228782287823,1
2015-11-12,2015,11,12,316,1.6897293972939729,16.34040590405904,-2.719077490774908,19.059483394833947,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.5878228782287823,1
2015-11-13,2015,11,13,317,1.6897293972939729,16.34040590405904,-2.719077490774908,19.059483394833947,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.5878228782287823,1
2015-11-14,2015,11,14,318,1.6897293972939729,16.34040590405904,-2.719077490774908,19.059483394833947,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.5878228782287823,1
2015-11-15,2015,11,15,319,1.6897293972939729,16.34040590405904,-2.719077490774908,19.059483394833947,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.5878228782287823,1
2015-11-16,2015,11,16,320,1.6897293972939729,16.34040590405904,-2.719077490774908,19.059483394833947,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.5878228782287823,1
2015-11-17,2015,11,17,321,1.6897293972939729,16.34040590405904,-2.719077490774908,19.059483394833947,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.5878228782287823,1
2015-11-18,2015,11,18,322,1.6897293972939729,16.34040590405904,-2.719077490774908,19.059483394833947,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.5878228782287823,1
2015-11-19,2015,11,19,323,1.6897293972939729,16.34040590405904,-2.719077490774908,19.059483394833947,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.5878228782287823,1
2015-11-20,2015,11,20,324,1.6897293972939729,16.34040590405904,-2.719077490774908,19.059483394833947,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.5878228782287823,1
2015-11-21,2015,11,21,325,1.6897293972939729,16.34040590405904,-2.719077490774908,19.059483394833947,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.5878228782287823,1
2015-11-22,2015,11,22,326,1.6897293972939729,16.34040590405904,-2.719077490774908,19.059483394833947,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.5878228782287823,1
2015-11-23,2015,11,23,327,1.6897293972939729,16.34040590405904,-2.719077490774908,19.059483394833947,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.5878228782287823,1
2015-11-24,2015,11,24,328,1.6897293972939729,16.34040590405904,-2.719077490774908,19.059483394833947,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.5878228782287823,1
2015-11-25,2015,11,25,329,1.6897293972939729,16.34040590405904,-2.719077490774908,19.059483394833947,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.5878228782287823,1
2015-11-26,2015,11,26,330,1.6897293972939729,16.34040590405904,-2.719077490774908,19.059483394833947,CHUQUIBAMBILLA,-14.79,-70.72,Norte,PUNO,0.5878228782287823,1
