fold,train_years,test_years,train_samples,test_samples,f1_score,auc_roc,brier_score
1,1931-1933,1934-1953,1062,5192,0.9096280848105666,0.9714576910441534,0.06829094761171033
2,1931-1934,1935-1954,1427,5192,0.9097210188875412,0.969849314379969,0.07190963020030816
3,1931-1935,1936-1955,1792,5184,0.9147659063625451,0.9740272570546914,0.06804782021604938
4,1931-1936,1937-1956,2158,5501,0.9161019683768957,0.9770692438857631,0.06553726595164515
5,1931-1937,1938-1957,2523,6388,0.9042031783751671,0.9786255246032174,0.06798163744520977
