Métrica,XGBoost,Random Forest
F1-Score,0.9089201877934272,0.9071969696969697
AUC-ROC,0.9619736346516008,0.9581067168863779
AUC-PR,0.9738565295743089,0.9708833008401823
Brier Score,0.07473139205638946,0.07892166423675318
CSI,0.8330464716006885,0.830155979202773
Accuracy,0.8929359823399559,0.891832229580574
