valid_time,latitude,longitude,t2m,d2m,sp,tp,ssrd,number,expver
2018-02-01 00:00:00,-13.9,-71.0,275.8689,275.38403,57311.86,0.004619452,2.2932748e+07,0,0001
2018-02-01 00:00:00,-13.9,-70.9,274.79468,274.42505,56323.86,0.0044803796,2.3040348e+07,0,0001
2018-02-01 00:00:00,-13.9,-70.80000000000001,274.88843,274.46216,56435.86,0.0046617864,2.2936084e+07,0,0001
2018-02-01 00:00:00,-13.9,-70.70000000000002,276.39233,275.93286,58073.86,0.0049710004,2.2758744e+07,0,0001
2018-02-01 00:00:00,-13.9,-70.60000000000002,278.0818,277.62036,60100.86,0.0052925674,2.256976e+07,0,0001
2018-02-01 00:00:00,-13.9,-70.50000000000003,278.2556,277.5735,60477.86,0.005739468,2.234372e+07,0,0001
2018-02-01 00:00:00,-13.9,-70.40000000000003,277.49194,276.64185,59587.86,0.0062209098,2.2107088e+07,0,0001
2018-02-01 00:00:00,-13.9,-70.30000000000004,277.46265,276.53247,59728.86,0.0066085486,2.1777844e+07,0,0001
2018-02-01 00:00:00,-13.9,-70.20000000000005,278.71655,277.7063,61409.86,0.0065019755,2.1042136e+07,0,0001
2018-02-01 00:00:00,-13.9,-70.10000000000005,279.0642,277.89575,61675.86,0.006337079,2.0273244e+07,0,0001
2018-02-01 00:00:00,-13.9,-70.00000000000006,279.5564,278.3684,62155.86,0.007014069,1.953104e+07,0,0001
2018-02-01 00:00:00,-13.9,-69.90000000000006,282.3103,281.31567,66481.86,0.009024653,1.8815584e+07,0,0001
2018-02-01 00:00:00,-13.9,-69.80000000000007,286.44507,285.5227,73564.86,0.01106641,1.8094944e+07,0,0001
2018-02-01 00:00:00,-13.9,-69.70000000000007,289.20288,288.40942,79078.86,0.011389184,1.7527752e+07,0,0001
2018-02-01 00:00:00,-13.9,-69.60000000000008,290.35522,289.8235,81800.86,0.009957555,1.7114624e+07,0,0001
2018-02-01 00:00:00,-13.9,-69.50000000000009,291.25757,290.9485,83996.86,0.008572909,1.6706076e+07,0,0001
2018-02-01 00:00:00,-13.9,-69.40000000000009,291.2732,291.03638,83866.86,0.009589526,1.6541996e+07,0,0001
2018-02-01 00:00:00,-13.9,-69.3000000000001,290.73608,290.50122,82329.86,0.011858392,1.6480056e+07,0,0001
2018-02-01 00:00:00,-13.9,-69.2000000000001,291.07983,290.82153,82862.86,0.013748932,1.644972e+07,0,0001
2018-02-01 00:00:00,-13.9,-69.10000000000011,292.45288,292.03638,85723.86,0.012771341,1.6587292e+07,0,0001
2018-02-01 00:00:00,-13.9,-69.00000000000011,293.57788,292.94653,88001.86,0.0109490035,1.6774696e+07,0,0001
2018-02-01 00:00:00,-13.9,-68.90000000000012,293.98218,293.136,88567.86,0.00920977,1.7011072e+07,0,0001
2018-02-01 00:00:00,-13.9,-68.8,293.8982,292.98755,88008.86,0.0079003,1.7492148e+07,0,0001
2018-02-01 00:00:00,-14.0,-71.0,277.40796,275.69263,58328.86,0.0043702153,2.3621412e+07,0,0001
2018-02-01 00:00:00,-14.0,-70.9,275.92944,274.6516,56889.86,0.0042545823,2.3746644e+07,0,0001
2018-02-01 00:00:00,-14.0,-70.80000000000001,275.3064,274.25708,56322.86,0.004430878,2.3713256e+07,0,0001
2018-02-01 00:00:00,-14.0,-70.70000000000002,276.2556,275.4016,57416.86,0.004739511,2.3609612e+07,0,0001
2018-02-01 00:00:00,-14.0,-70.60000000000002,277.8396,276.9231,59238.86,0.005061957,2.35049e+07,0,0001
2018-02-01 00:00:00,-14.0,-70.50000000000003,278.10327,277.0481,59756.86,0.005797255,2.3338112e+07,0,0001
2018-02-01 00:00:00,-14.0,-70.40000000000003,277.34155,276.19263,59019.86,0.006566542,2.3164664e+07,0,0001
2018-02-01 00:00:00,-14.0,-70.30000000000004,277.05444,275.91333,58907.86,0.007263231,2.28791e+07,0,0001
2018-02-01 00:00:00,-14.0,-70.20000000000005,277.8943,276.98755,60147.86,0.007779303,2.2290532e+07,0,0001
2018-02-01 00:00:00,-14.0,-70.10000000000005,278.54077,277.50513,61091.86,0.008278075,2.1644924e+07,0,0001
2018-02-01 00:00:00,-14.0,-70.00000000000006,278.9275,277.95435,61594.86,0.00890142,2.0940128e+07,0,0001
2018-02-01 00:00:00,-14.0,-69.90000000000006,281.04077,280.24536,64739.86,0.009812239,2.0124952e+07,0,0001
2018-02-01 00:00:00,-14.0,-69.80000000000007,283.73804,283.0227,69074.86,0.010545122,1.92985e+07,0,0001
2018-02-01 00:00:00,-14.0,-69.70000000000007,285.72437,285.14966,72630.86,0.010429877,1.8635592e+07,0,0001
2018-02-01 00:00:00,-14.0,-69.60000000000008,287.17554,286.81567,75598.86,0.009688082,1.8119332e+07,0,0001
2018-02-01 00:00:00,-14.0,-69.50000000000009,288.98218,288.76685,79369.86,0.008988935,1.7635932e+07,0,0001
2018-02-01 00:00:00,-14.0,-69.40000000000009,289.97437,289.8098,81348.86,0.010352182,1.7338568e+07,0,0001
2018-02-01 00:00:00,-14.0,-69.3000000000001,289.9431,289.76685,81043.86,0.012877616,1.7141264e+07,0,0001
2018-02-01 00:00:00,-14.0,-69.2000000000001,290.16577,289.96216,81292.86,0.015205982,1.6953184e+07,0,0001
2018-02-01 00:00:00,-14.0,-69.10000000000011,291.4568,291.04224,83849.86,0.013542595,1.6958668e+07,0,0001
2018-02-01 00:00:00,-14.0,-69.00000000000011,293.0232,292.386,87144.86,0.011131632,1.7017156e+07,0,0001
2018-02-01 00:00:00,-14.0,-68.90000000000012,293.66382,292.81763,88291.86,0.008892584,1.7148728e+07,0,0001
2018-02-01 00:00:00,-14.0,-68.8,293.14233,292.20044,86577.86,0.0075904755,1.757654e+07,0,0001
2018-02-01 00:00:00,-14.1,-71.0,278.031,274.80786,58282.86,0.004160988,2.419862e+07,0,0001
2018-02-01 00:00:00,-14.1,-70.9,276.37085,274.19263,56743.86,0.0040882854,2.4330356e+07,0,0001
2018-02-01 00:00:00,-14.1,-70.80000000000001,275.42944,273.65942,55907.86,0.004249486,2.4359636e+07,0,0001
2018-02-01 00:00:00,-14.1,-70.70000000000002,275.67358,274.06958,56282.86,0.0045004217,2.4349664e+07,0,0001
2018-02-01 00:00:00,-14.1,-70.60000000000002,276.73022,275.31177,57633.86,0.004865083,2.4330584e+07,0,0001
2018-02-01 00:00:00,-14.1,-70.50000000000003,277.54858,276.18286,58756.86,0.0057529984,2.4269184e+07,0,0001
2018-02-01 00:00:00,-14.1,-70.40000000000003,277.37476,276.06567,58810.86,0.0068198023,2.4198636e+07,0,0001
2018-02-01 00:00:00,-14.1,-70.30000000000004,276.88843,275.70044,58524.86,0.007953676,2.404364e+07,0,0001
2018-02-01 00:00:00,-14.1,-70.20000000000005,277.10522,276.3352,59068.86,0.0094003705,2.3584992e+07,0,0001
2018-02-01 00:00:00,-14.1,-70.10000000000005,277.86304,277.4485,60183.86,0.010874721,2.3097724e+07,0,0001
2018-02-01 00:00:00,-14.1,-70.00000000000006,278.82983,278.31567,61850.86,0.011490005,2.24548e+07,0,0001
2018-02-01 00:00:00,-14.1,-69.90000000000006,280.51343,280.21216,64114.86,0.010465804,2.1531664e+07,0,0001
2018-02-01 00:00:00,-14.1,-69.80000000000007,281.5349,281.0149,65592.86,0.009411248,2.0599556e+07,0,0001
2018-02-01 00:00:00,-14.1,-69.70000000000007,282.4607,282.01294,67012.86,0.008943203,1.9822164e+07,0,0001
2018-02-01 00:00:00,-14.1,-69.60000000000008,284.0818,283.81567,69916.86,0.009184348,1.9223296e+07,0,0001
2018-02-01 00:00:00,-14.1,-69.50000000000009,286.5232,286.37622,74511.86,0.009424451,1.8624408e+07,0,0001
