valid_time,latitude,longitude,t2m,d2m,sp,tp,ssrd,number,expver
2021-06-01 00:00:00,-13.9,-71.0,274.48486,272.3142,57349.723,0.0016449392,1.4626344e+07,0,0001
2021-06-01 00:00:00,-13.9,-70.9,273.70947,271.26343,56545.723,0.0019039512,1.480212e+07,0,0001
2021-06-01 00:00:00,-13.9,-70.80000000000001,273.8247,271.6599,56811.723,0.0021216273,1.4794152e+07,0,0001
2021-06-01 00:00:00,-13.9,-70.70000000000002,275.1001,273.6267,58392.723,0.0022645593,1.4733132e+07,0,0001
2021-06-01 00:00:00,-13.9,-70.60000000000002,276.44385,275.6599,60354.723,0.0023689568,1.465108e+07,0,0001
2021-06-01 00:00:00,-13.9,-70.50000000000003,276.43604,275.8435,60651.723,0.0022911727,1.4466428e+07,0,0001
2021-06-01 00:00:00,-13.9,-70.40000000000003,275.74463,275.19897,59671.723,0.0021587312,1.4252224e+07,0,0001
2021-06-01 00:00:00,-13.9,-70.30000000000004,275.8423,275.57788,60013.723,0.0018972754,1.4078308e+07,0,0001
2021-06-01 00:00:00,-13.9,-70.20000000000005,276.88135,276.7068,61639.723,0.0025956035,1.36417e+07,0,0001
2021-06-01 00:00:00,-13.9,-70.10000000000005,277.14307,276.91772,61901.723,0.00338912,1.3124204e+07,0,0001
2021-06-01 00:00:00,-13.9,-70.00000000000006,277.5454,277.28687,62457.723,0.004819095,1.2652972e+07,0,0001
2021-06-01 00:00:00,-13.9,-69.90000000000006,280.21533,280.04468,67007.72,0.007351607,1.2262328e+07,0,0001
2021-06-01 00:00:00,-13.9,-69.80000000000007,284.37158,284.13647,74374.72,0.009922326,1.1873944e+07,0,0001
2021-06-01 00:00:00,-13.9,-69.70000000000007,286.9497,286.6228,79209.72,0.009639889,1.1304188e+07,0,0001
2021-06-01 00:00:00,-13.9,-69.60000000000008,288.4497,288.09546,82124.72,0.0064214766,1.059256e+07,0,0001
2021-06-01 00:00:00,-13.9,-69.50000000000009,289.6548,289.1482,84513.72,0.0032456517,9.87892e+06,0,0001
2021-06-01 00:00:00,-13.9,-69.40000000000009,289.54346,289.0056,84410.72,0.0024238825,9.030208e+06,0,0001
2021-06-01 00:00:00,-13.9,-69.3000000000001,288.6411,288.11304,82778.72,0.0027587414,8.115296e+06,0,0001
2021-06-01 00:00:00,-13.9,-69.2000000000001,288.8794,288.3728,83420.72,0.003664434,7.231604e+06,0,0001
2021-06-01 00:00:00,-13.9,-69.10000000000011,290.27783,289.76343,86401.72,0.009742409,6.503676e+06,0,0001
2021-06-01 00:00:00,-13.9,-69.00000000000011,291.34424,290.76147,88672.72,0.018182397,5.827608e+06,0,0001
2021-06-01 00:00:00,-13.9,-68.90000000000012,291.5376,290.90796,89219.72,0.02513501,5.30092e+06,0,0001
