valid_time,latitude,longitude,t2m,d2m,sp,tp,ssrd,number,expver
2020-03-01 00:00:00,-13.9,-71.0,274.90796,274.0681,57385.465,0.00048574316,2.6238166e+07,0,0001
2020-03-01 00:00:00,-13.9,-70.9,274.3357,273.95288,56589.465,0.00060608494,2.6230484e+07,0,0001
2020-03-01 00:00:00,-13.9,-70.80000000000001,274.69507,274.28296,56859.465,0.0012780528,2.540346e+07,0,0001
2020-03-01 00:00:00,-13.9,-70.70000000000002,276.09155,275.64038,58439.465,0.0016134928,2.4315336e+07,0,0001
2020-03-01 00:00:00,-13.9,-70.60000000000002,277.3103,276.99585,60402.465,0.0021733444,2.3052294e+07,0,0001
2020-03-01 00:00:00,-13.9,-70.50000000000003,277.37476,276.9724,60704.465,0.0037977945,2.1085336e+07,0,0001
2020-03-01 00:00:00,-13.9,-70.40000000000003,276.74194,276.281,59733.465,0.0057289405,1.8914332e+07,0,0001
2020-03-01 00:00:00,-13.9,-70.30000000000004,276.90405,276.54077,60078.465,0.008025254,1.735055e+07,0,0001
2020-03-01 00:00:00,-13.9,-70.20000000000005,277.8767,277.55835,61704.465,0.009083728,1.6114652e+07,0,0001
2020-03-01 00:00:00,-13.9,-70.10000000000005,278.0896,277.7439,61972.465,0.009876932,1.4733024e+07,0,0001
2020-03-01 00:00:00,-13.9,-70.00000000000006,278.51733,278.0974,62531.465,0.010858665,1.3535792e+07,0,0001
2020-03-01 00:00:00,-13.9,-69.90000000000006,281.23022,280.6814,67072.47,0.012167285,1.2656746e+07,0,0001
2020-03-01 00:00:00,-13.9,-69.80000000000007,285.32397,284.57593,74422.47,0.013519685,1.1754934e+07,0,0001
2020-03-01 00:00:00,-13.9,-69.70000000000007,287.95288,287.21265,79240.47,0.013682689,1.1235046e+07,0,0001
2020-03-01 00:00:00,-13.9,-69.60000000000008,289.4939,288.8064,82140.47,0.022780428,1.1123694e+07,0,0001
2020-03-01 00:00:00,-13.9,-69.50000000000009,290.73218,290.0232,84516.47,0.031634655,1.1022128e+07,0,0001
2020-03-01 00:00:00,-13.9,-69.40000000000009,290.84155,290.19702,84411.47,0.027534435,1.1436362e+07,0,0001
2020-03-01 00:00:00,-13.9,-69.3000000000001,290.22632,289.26733,82785.47,0.01708282,1.2103796e+07,0,0001
2020-03-01 00:00:00,-13.9,-69.2000000000001,290.7439,289.63843,83422.47,0.008728008,1.2767864e+07,0,0001
2020-03-01 00:00:00,-13.9,-69.10000000000011,292.39038,291.4685,86372.47,0.007641445,1.3718754e+07,0,0001
2020-03-01 00:00:00,-13.9,-69.00000000000011,293.64233,293.01538,88611.47,0.006717573,1.4694306e+07,0,0001
2020-03-01 00:00:00,-13.9,-68.90000000000012,294.1443,293.46655,89145.47,0.0057378365,1.56689e+07,0,0001
2020-03-01 00:00:00,-13.9,-68.8,294.54858,292.3357,88619.47,0.0045006378,1.6642114e+07,0,0001
2020-03-01 00:00:00,-14.0,-71.0,277.79468,275.56226,58838.465,0.0006682973,2.590281e+07,0,0001
2020-03-01 00:00:00,-14.0,-70.9,275.79077,273.9568,57232.465,0.0004949223,2.6188012e+07,0,0001
2020-03-01 00:00:00,-14.0,-70.80000000000001,274.32593,273.2732,56492.465,0.0005141448,2.5936746e+07,0,0001
2020-03-01 00:00:00,-14.0,-70.70000000000002,275.7732,274.76733,57586.465,0.00072688865,2.5151906e+07,0,0001
2020-03-01 00:00:00,-14.0,-70.60000000000002,277.48413,276.2107,59522.465,0.0011143785,2.40032e+07,0,0001
2020-03-01 00:00:00,-14.0,-70.50000000000003,277.85132,276.51733,60219.465,0.0029114138,2.1923348e+07,0,0001
2020-03-01 00:00:00,-14.0,-70.40000000000003,277.3181,276.00366,59636.465,0.004783909,1.981822e+07,0,0001
2020-03-01 00:00:00,-14.0,-70.30000000000004,276.32007,275.5525,58887.465,0.0046330793,1.9749306e+07,0,0001
2020-03-01 00:00:00,-14.0,-70.20000000000005,276.52124,276.0974,59639.465,0.0049770875,1.8727154e+07,0,0001
2020-03-01 00:00:00,-14.0,-70.10000000000005,277.2771,276.9392,60976.465,0.005685295,1.7386136e+07,0,0001
2020-03-01 00:00:00,-14.0,-70.00000000000006,277.98804,277.65015,62032.465,0.006647165,1.6168942e+07,0,0001
2020-03-01 00:00:00,-14.0,-69.90000000000006,280.32788,279.91772,65687.47,0.007985274,1.52916e+07,0,0001
2020-03-01 00:00:00,-14.0,-69.80000000000007,282.85132,282.29858,70016.47,0.009766172,1.3645862e+07,0,0001
2020-03-01 00:00:00,-14.0,-69.70000000000007,284.76147,284.1267,73507.47,0.013126041,1.1783274e+07,0,0001
